scp-632,Euclid,,arachnid biological chemical cognitohazard euclid neurological reproductive scp sentient tactile visual 
scp-6320,Euclid1,,euclid extradimensional location portal scp self-replicating subterranean 
scp-6321,Euclid,,acoustic artifact autonomous engraved euclid musical scp wooden 
scp-6322,Safe,,acoustic auditory chaos-insurgency s&c-plastics safe scp sphere stone tactile 
scp-6323,Keter,,alive animal art-exchange humanoid keter sapient scp sensory sentient serpents-hand uncontained visual 
scp-6324,euclid,,compulsion euclid mechanical scp vehicle 
scp-6325,safe,,artistic cognitohazard document engraved inscribed inscription mind-affecting neurological predictive safe scp tactile wooden 
scp-6326,Euclid,,alive animal euclid humanoid scp sentient teleportation ursine 
scp-6327,safe,,doctor-reynders inscribed safe scp serpents-hand structure wooden 
scp-6328,keter,,antimemetic historical humanoid intangible keter military sapient scp sentient uncontained visual 
scp-633,Euclid Keter,,chemical computer contagion keter rewritable rewrite sapient scp self-replicating sentient unusual-incidents-unit 
scp-6330,esoteric-class,site-44,esoteric-class hostile sapient scp sentient shadow sleep toy uncontained 
scp-6331,Safe,,alive artistic autonomous cognitohazard humanoid liquid memetic ontokinetic plant safe sapient scp sentient transfiguration 
scp-6332,keter,,alive animal antimemetic ectoentropic fire keter memory-affecting meta sapient scp sentient 
scp-6333,Keter,,6000 adaptive keter knowledge light mind-affecting plant portal scp serpents-hand 
scp-6334,euclid,,animal canine euclid feline glass metallic sciurine scp sentient telepathic 
scp-6335,Tiamat,site-120,biological co-authored esoteric-class extraterrestrial foundation-made geological heimdall humanoid indestructible k-class-scenario mechanical ontokinetic scp species teleportation the-administrator transmission uncontained 
scp-6336,Safe,,humanoid mimetic observational safe sapient scp sentient visual 
scp-6337,Safe,,cadaver humanoid safe scp 
scp-6338,safe,,compulsion mind-affecting physics safe scp temporal toy 
scp-6339,euclid,,ectoentropic euclid food scp thermal 
scp-634,Euclid,,alive animal euclid memory-affecting piscine scp 
scp-6340,euclid,,building euclid humanoid immobile kindness scp 
scp-6343,Neutralized,,acoustic container glass inscribed miniature neutralized scp wooden 
scp-6345,euclid,,autonomous biological cadaver euclid hostile humanoid indestructible performance reanimation reviewers-spotlight sapient scp sentient skeletal 
scp-6349,euclid,,euclid extraterrestrial k-class-scenario mobile planet sapient scp sentient transmission 
scp-635,Euclid,,automaton compulsion document euclid mind-affecting scp self-replicating 
scp-6350,Safe Euclid,,auditory electronic euclid media mind-affecting recording scp visual 
scp-6354,safe,,humanoid intangible loop reanimation safe sapient scp sentient 
scp-6355,thaumiel,,co-authored departmentcon2022 intangible mind-affecting sapient scp sentient thaumiel 
scp-6357,esoteric-class,area-12,6000 alive contagion esoteric-class gaseous hive-mind humanoid indestructible metamorphic predatory sapient scp self-repairing sentient uncontained 
scp-6358,keter,,document keter memetic on-guard-43 religious scp vikander-kneed 
scp-636,Euclid,,autonomous building euclid extradimensional scp vehicle 
scp-6360,esoteric-class,,alive animal audio auditory avian biohazard cognitohazard esoteric-class mimetic reptilian sapient sarkic scp sentient species telepathic toxic visual 
scp-6363,keter,,cognitohazard compulsion keter memecon2021-unofficial memetic scp visual 
scp-6364,safe,,anderson cognitohazard compulsion concept infohazard mathematical mind-affecting safe sarkic scp visual 
scp-6366,euclid,,airborne alive animal aquatic avian euclid piscine sapient scp sentient 
scp-6368,thaumiel,,departmentcon2022 humanoid intangible reanimation sapient scp sentient thaumiel 
scp-6369,Safe,,alive animal co-authored electronic exchange murine omnivorous reviewers-spotlight safe sapient scp sentient 
scp-637,Safe,site-14,cognitohazard feline hallucination humanoid memetic neurological safe scp visual 
scp-6370,pending,,building cadaver extradimensional hostile humanoid location pending sapient scp sentient spacetime uncontained 
scp-6371,archon,,abnormalities archon artifact building cadaver foundation-made scp skeletal the-sculpture 
scp-6372,Euclid,,acoustic ad-astra co-authored engraved euclid extraterrestrial gravity indestructible physics scp stone structure 
scp-6373,neutralized,,cadaver mobile neutralized performance reviewers-spotlight scp sculpture self-repairing sentient 
scp-6374,Euclid Keter,,6000 alive aquatic arboreal auditory biological cadaver feline hallucination hive-mind humanoid insect keter location musical ontokinetic plant scp species subterranean 
scp-6379,esoteric-class,,alive cognitohazard compulsion esoteric-class humanoid sapient scp sentient tactile uncontained visual 
scp-638,neutralized,,alive chicago-spirit humanoid neutralized richard-chappell sapient scp sentient teleportation 
scp-6380,neutralized,,biological cadaver chicago-spirit co-authored historical humanoid infohazard meta nameless neutralized richard-chappell scp 
scp-6382,esoteric-class,site-43,alive director-mcinnis doctor-blank doctor-everwood doctor-lillihammer esoteric-class humanoid memetic on-guard-43 sapient scp sentient thilo-zwist 
scp-6386,keter,,alive dado exchange humanoid keter ontokinetic religious sapient scp sentient teleportation uncontained 
scp-6388,neutralized,,airborne alive extraterrestrial humanoid mechanical mobile neutralized sapient scp sentient vehicle 
scp-639,Safe,,alive humanoid light safe sapient scp sentient spacetime 
scp-6390,keter,,empathic keter memetic mind-affecting neurological scp 
scp-6391,safe,,alive arachnid biological contagion extradimensional mind-affecting neurological religious safe scp self-replicating stone 
scp-6394,euclid,,alive animal apian artistic euclid insect media sapient scp sentient swarm telepathic 
scp-6395,euclid,,alive euclid hive-mind scp sentient 
scp-6399,neutralized,site-ae7,computer electronic foundation-made knowledge meta neutralized sapient scp sentient 
scp-64,Safe,,artifact safe scp self-replicating structure 
scp-640,Euclid,site-14,carnivorous electromagnetic euclid intangible mind-affecting predatory radioactive scp 
scp-6400,safe,site-14,6000 building compulsion light safe scp teleportation 
scp-6401,keter,,arboreal ectoentropic infohazard keter location memory-affecting meta nameless scp 
scp-6402,euclid,,alive animal building dado euclid food sapient scp sentient transfiguration ursine 
scp-6403,archon,,archon automaton broken-god cadaver departmentcon2022 extradimensional hive-mind humanoid intangible ontokinetic reanimation religious ritual sapient scp sentient structure 
scp-6404,esoteric-class,,alive esoteric-class historical hive-mind mind-affecting sapient scp sentient telepathic 
scp-6405,euclid,,acoustic autonomous city empathic euclid extradimensional foundation-made humanoid memory-affecting ontokinetic predatory scp self-repairing telepathic transfiguration vehicle 
scp-6406,keter,,director-moose humanoid keter s&c-plastics sapient scp self-repairing sentient teleportation 
scp-6407,euclid,,alive amorphous euclid food humanoid sapient scp sentient 
scp-6409,Euclid,,autonomous clothing co-authored euclid game on-guard-43 sapient scp sentient sphere sport telekinetic 
scp-641,Safe,,autonomous compulsion doctor-heiden safe scp toy 
scp-6410,keter,,animal autonomous departmentcon2022 historical keter organic sapient scp sentient 
scp-6411,thaumiel,,foundation-made infohazard language nameless ontokinetic ritual scp thaumiel 
scp-6412,keter,site-81,animal artifact building equine extradimensional humanoid keter location scp 
scp-6414,euclid,,acoustic alive animal co-authored euclid food sapient scp sentient 
scp-6415,Safe,,alive animal humanoid reptilian safe sapient scp sentient species 
scp-6416,keter,,cube doctor-mcdoctorate doctor-reynders keter narrative ontokinetic probability scp spacetime toy 
scp-642,Euclid,,euclid geological location reproductive scp 
scp-6420,Keter,,6000 alive animal arachnid building cadaver humanoid keter leporine miniature neurological parasitic sapient scp sentient transfiguration 
scp-6421,esoteric-class,,artistic cognitohazard director-aktus esoteric-class global-occult-coalition knowledge mind-affecting photographic scp visual 
scp-6422,keter,,6000 global-occult-coalition horizon-initiative keter marshall-carter-and-dark mind-affecting ontokinetic plant scp self-repairing serpents-hand stone structure 
scp-6423,neutralized,,building corporate exchange factory mechanical neutralized ritual scp 
scp-6424,euclid,,euclid extraterrestrial media planet scp vehicle 
scp-6427,Keter2,,antimemetic hostile infohazard keter meta nightmarefest scp sentient teleportation 
scp-643,Safe Keter,site-77,artifact co-authored compulsion esterberg food from-120s-archives keter liquid olfactory rewrite scp thermal 
scp-6430,Keter,,compulsion contagion extremity infohazard keter language mathematical memetic meta mind-affecting scp transfiguration uncontained 
scp-6431,safe,,city extradimensional humanoid memory-affecting mind-affecting nightmarefest safe sapient scp sentient 
scp-6432,Safe,,animal avian cadaver cognitohazard hallucination safe scp sensory 
scp-6439,keter,,geological infohazard insect keter memory-affecting meteorological mind-affecting reanimation scp shadow telepathic temporal transfiguration 
scp-644,Euclid,,alive dr-wondertainment euclid humanoid mister predictive sapient scp sentient telepathic 
scp-6440,Euclid (Pending Keter reclassification.),,alive building city euclid fungus hive-mind humanoid mind-affecting ontokinetic sapient scp sentient 
scp-6441,euclid,,alive animal euclid memetic ranine sapient scp sentient 
scp-6442,thaumiel,,co-authored cognitohazard foundation-made global-occult-coalition inscription neurological scp thaumiel visual 
scp-6443,Safe Neutralized,,alive animal antimemetic canine memory-affecting narrative neutralized safe scp species 
scp-6444,euclid,,airborne alive auditory cognitohazard document empathic euclid humanoid meteorological sapient scp sentient 
scp-6445,esoteric-class,,concept departmentcon2022 esoteric-class extradimensional location meta scp 
scp-6446,safe,,alive artifact extradimensional humanoid metallic safe sapient scp sentient 
scp-6447,keter,,acoustic biological chemical co-authored immobile keter meta meteorological mind-affecting musical ritual scp structure 
scp-6448,keter,site-44,amorphous animal cadaver cervine hostile keter predatory sapient scp sentient 
scp-6449,Euclid,,alive animal artistic autonomous euclid feline humanoid mobile sapient scp sentient 
scp-645,Safe Euclid,,autonomous euclid humanoid rewrite sapient scp sculpture stone telepathic 
scp-6450,apollyon,,apollyon cadaver cognitohazard engraved hostile humanoid k-class-scenario knowledge meta mind-affecting reanimation sapient scp sentient visual 
scp-6451,pending,,alive humanoid mister pending sapient scp sentient 
scp-6452,Safe,,biological meta mimetic predatory safe scp 
scp-6453,safe,,alive biohazard cube humanoid safe sapient scp sculpture sentient simian teleportation 
scp-6454,esoteric-class,site-418,alive artistic departmentcon2022 esoteric-class extradimensional predatory sapient scp sentient telekinetic 
scp-6456,euclid,,alive euclid fire humanoid meta sapient scp sentient 
scp-646,Euclid,site-65,animal biological ectoentropic euclid humanoid reproductive scp 
scp-6462,keter,,city entropic extradimensional hostile humanoid keter mind-affecting narrative observational radioactive religious sapient scarlet-king scp sentient sleep stone transfiguration wanderers-library 
scp-6463,pending,,6000 arboreal cognitohazard doctor-gears entropic extradimensional knowledge pending plant scp visual 
scp-6464,Euclid,,6000 alive animal arboreal co-authored euclid historical light miniature mobile plant scp vermian 
scp-6466,neutralized,,alive animal cadaver cervine neutralized sapient scp sentient 
scp-6468,Safe,site-418,autonomous dado departmentcon2022 exchange media online safe scp 
scp-6469,Keter Decommissioned,,acoustic alive director-bold esoteric-class humanoid light metamorphic sapient scp sentient teleportation uncontained 
scp-647,Euclid,,carnivorous container euclid metamorphic predatory rewrite scp self-repairing 
scp-6470,Thaumiel,,acoustic broken-masquerade foundation-made gustatory international liquid medical miscommunications scp thaumiel 
scp-6472,esoteric-class,,dado empathic esoteric-class foundation-made media memetic meta photographic scp 
scp-6474,euclid,,acoustic auditory euclid hallucination media memory-affecting mind-affecting ontokinetic scp 
scp-6477,Safe,site-11,cadaver ethics-committee safe scp teleportation 
scp-6479,Safe Euclid,,animal canine euclid historical hostile mobile scp sentient shadow 
scp-648,Euclid,,euclid extradimensional metamorphic portal scp structure 
scp-6480,safe,,document knowledge mind-affecting neurological safe scp 
scp-6482,neutralized,,cadaver humanoid intangible neutralized reanimation scp sentient 
scp-6483,esoteric-class,site-120,alive antarctic-exchange co-authored doctor-rivera empathic esoteric-class from-120s-archives humanoid no-return ontokinetic sapient scp sentient teleportation 
scp-6484,esoteric-class,site-43,aiad alexandra alive cadaver cognitohazard esoteric-class humanoid language memetic meta mind-affecting on-guard-43 sapient scp sentient uncontained 
scp-6485,Euclid,,departmentcon2022 euclid historical scp spacetime temporal weapon 
scp-6488,euclid,,aquatic autonomous departmentcon2022 euclid foundation-made meteorological scp teleportation temporal thermal vehicle 
scp-6489,keter,,alive animal arachnid carnivorous keter microscopic predatory scp species 
scp-649,Safe,site-77,appliance extradimensional meteorological rewrite safe scp thermodynamic 
scp-6497,keter,,chemical document exchange extremity keter mind-affecting recording scp transfiguration 
scp-6498,euclid,,acoustic biological building euclid nightmarefest ontokinetic religious scp skeletal 
scp-6499,safe,,document empathic indestructible memory-affecting mind-affecting safe scp 
scp-65,Euclid,,auditory euclid genetic global-occult-coalition location reanimation scp sensory transfiguration visual 
scp-650,Euclid,,euclid humanoid observational scp statue teleportation 
scp-6500,esoteric-class,,6000 alagadda artifact audio biological blackwood co-authored container d-11424 daevite deer-college doctor-light doctor-mcdoctorate entropic esoteric-class ethics-committee faeowynn-wilson global-occult-coalition grand-karcist-ion hanged-king hy-brasil interactive la-rue-macabre meta metallic narrative no-return on-guard-43 portal religious ritual s&c-plastics scp serpents-hand spacetime temporal three-moons-initiative three-portlands wanderers-library weapon wilsons-wildlife 
scp-6501,safe,,cadaver co-authored humanoid immobile intangible nocturnal safe sapient scp sentient 
scp-6502,thaumiel,,cadaver location nightmarefest scp subterranean thaumiel 
scp-6503,esoteric-class,,esoteric-class horizon-initiative hostile humanoid indestructible language mechanical meta metallic mind-affecting religious sapient scp sentient skeletal weapon 
scp-6505,Keter,,exchange keter loop scp uncontained 
scp-651,Euclid,,euclid scp transfiguration virus 
scp-6510,archon,,archon cognitohazard contagion ectoentropic empathic foundation-made humanoid meta scp sleep weapon 
scp-6511,thaumiel,,co-authored concept departmentcon2022 document k-class-scenario scp thaumiel 
scp-6515,Keter,,alive cognitohazard compulsion historical humanoid keter mechanical mind-affecting observational organic scp 
scp-6516,Safe,site-44,acoustic arboreal auditory location metal reanimation ritual safe scp stone structure visual 
scp-652,Safe,,alive canine language marshall-carter-and-dark meteorological predictive rewrite safe scp 
scp-6520,Keter-Dark | Area | Cognitohazard,,auditory cognitohazard compulsion ectoentropic hallucination hostile keter knowledge mind-affecting scp structure transfiguration 
scp-6523,thaumiel,,departmentcon2022 ectoentropic extraterrestrial fifthist foundation-made global-occult-coalition icsut metallic prometheus radioactive scp thaumiel third-law vehicle 
scp-6524,Euclid,,euclid extraterrestrial humanoid sapient scp sentient 
scp-6525,pending,,6000 k-class-scenario ontokinetic pending scp 
scp-6526,Safe,,container ectoentropic food liquid safe scp 
scp-6527,NA,,in-deletion 
scp-6528,keter,site-45,6000 alive chemical gravity historical keter pattern-screamer plant sapient scp sentient species 
scp-6529,safe,site-184,artistic auditory concept container extradimensional hallucination memecon2021-unofficial ontokinetic safe scp tool unusual-cargo 
scp-653,Safe,,cognitohazard compulsion mind-affecting safe scp tactile toy 
scp-6530,neutralized,site-106,co-authored cognitohazard departmentcon2022 exchange memetic mind-affecting neutralized online scp unusual-incidents-unit 
scp-6531,Keter,,building cadaver clothing ectoentropic hostile humanoid keter reanimation scp skeletal 
scp-6535,esoteric-class,,alive esoteric-class humanoid meta ontokinetic sapient scp sentient sleep uncontained 
scp-6537,keter,,airborne alive animal electromagnetic insect keter lepidopteran radioactive reanimation scp sentient species teleportation 
scp-654,Neutralized (Formerly Keter),,alive animal cetacean doctor-everwood electrical faeowynn-wilson keter neutralized rewrite scp the-trashfire wilsons-wildlife 
scp-6540,Safe,,cognitohazard container ectoentropic liquid safe scp skeletal transfiguration 
scp-6542,esoteric-class,,art-exchange city co-authored container esoteric-class extradimensional food humanoid liquid organic religious rewrite sapient scp sentient shadow sleep tactical-theology 
scp-6543,Safe,,cadaver extradimensional knowledge location safe scp 
scp-6545,safe,,appliance building electronic on-guard-43 safe scp transfiguration 
scp-6549,safe,,acoustic computer electronic foundation-made k-class-scenario knowledge memory-affecting safe sapient scp sentient telepathic 
scp-655,Euclid,,alive animal building ectoentropic euclid location scp 
scp-6550,keter,,artifact cadaver extradimensional foundation-made hostile humanoid keter ontokinetic reanimation scp shadow unhuman 
scp-6553,keter,,compulsion equine food keter meteorological religion ritual scp transfiguration 
scp-6554,Keter,,ectoentropic keter mechanical scp tool 
scp-6555,Safe,,co-authored extraterrestrial metallic safe satellite scp sotm structure transmission 
scp-6556,safe,,co-authored dinosaurian featured historical media memetic online paradox recording safe scp 
scp-656,Safe,,game recording safe scp self-replicating telepathic 
scp-6560,Euclid,site-64,building city euclid furniture map scp 
scp-6561,Neutralized1,,concept keter memory-affecting mind-affecting neutralized ontokinetic scp 
scp-6565,thaumiel,,acoustic alive arboreal empathic mind-affecting scp sentient sexual subterranean thaumiel 
scp-6566,keter,,animal building departmentcon2022 hostile humanoid keter organic religious sapient scp sentient toy ursine 
scp-6567,safe,,alive animal avian safe sapient scp sentient 
scp-657,Safe,site-18,able alive humanoid predictive safe sapient scp sentient tactile 
scp-6570,safe,,alive amorphous animal biohazard biological departmentcon2022 insect safe scp sentient 
scp-6571,esoteric-class,,auditory cognitohazard compulsion computer departmentcon2022 esoteric-class global-occult-coalition military ontokinetic pentagram scp thermal weapon 
scp-6572,neutralized,,marshall-carter-and-dark neutralized scp uncontained weapon 
scp-6574,euclid,,amorphous avian euclid intangible predatory ritual scp 
scp-6575,keter,,aquatic fifthist keter mind-affecting ontokinetic scp uncontained 
scp-6579,esoteric-class,,acoustic antimemetic cadaver cognitohazard esoteric-class infohazard observational scp uncontained visual weapon 
scp-658,euclid,,automaton euclid mechanical reproductive scp 
scp-6580,safe,,addictive building chemical compulsion extradimensional hallucination hostile safe scp telekinetic telepathic teleportation 
scp-6581,Safe,,historical location safe scp skeletal structure 
scp-6585,Archon,,alive animal archon canine document empathic scp sentient species 
scp-659,Euclid Keter,,alive animal avian keter knowledge sapient scp sentient species 
scp-6590,esoteric-class,,audio co-authored esoteric-class historical media memecon2021-unofficial musical online scp transmission 
scp-6595,neutralized,,knowledge media neutralized recording sapient scp sculpture sentient 
scp-6596,keter,site-120,animal cadaver doctor-asheworth equine extradimensional from-120s-archives humanoid keter nameless sapient scp sentient skeletal teleportation uncontained 
scp-6597,euclid,site-300,artistic director-lague engraved euclid furniture humanoid mind-affecting ritual sapient scp sentient wooden 
scp-6598,safe,site-300,artifact co-authored currency metallic predictive rewrite safe sapient scp sentient 
scp-6599,keter,site-5076-1,alive co-authored hostile humanoid keter memecon2021-unofficial online parawatch sapient scp sentient teleportation 
scp-66,Safe-prodest Euclid-impetus,,amorphous autonomous eric euclid rewrite scp toy 
scp-660,Safe,,biological clay container ectoentropic rewrite safe scp 
scp-6600,esoteric-class,,6000 acoustic arachnid co-authored esoteric-class extradimensional memory-affecting mind-affecting ontokinetic portal sapient scp sensory sentient spacetime teleportation temporal 
scp-6601,Euclid,,euclid intangible memory-affecting sapient scp sentient 
scp-6602,euclid,,acoustic audio building cadaver cognitohazard compulsion euclid foundation-made glass humanoid knowledge ontokinetic scp temporal 
scp-6603,safe,,arboreal electrical location plant safe scp 
scp-6606,esoteric-class,,compulsion esoteric-class extraterrestrial k-class-scenario mechanical mind-affecting scp uncontained 
scp-6608,keter,,cognitohazard compulsion extraterrestrial fire hallucination keter light mind-affecting ocular scp sun visual 
scp-6609,pending,site-184,autonomous humanoid neurological nightmarefest pending reanimation sapient scp sentient 
scp-661,Safe,,alive auditory compulsion humanoid rewrite safe sapient scp sentient 
scp-6610,Safe Euclid Uncontained,,appliance document esoteric-class mechanical memetic scp uncontained 
scp-6611,euclid,,alive animal cadaver euclid hostile moon reanimation ritual sapient scp sentient sleep 
scp-6615,Safe,,document knowledge safe scp 
scp-6616,Euclid,,antimemetic building euclid global-occult-coalition humanoid marshall-carter-and-dark ontokinetic sapient scp sentient serpents-hand 
scp-6617,Euclid,,compulsion euclid humanoid location sapient scp sentient teleportation visual 
scp-6618,euclid,,art-exchange euclid media recording sapient scp sentient 
scp-6619,euclid,,building departmentcon2022 euclid humanoid medical reproductive scp teleportation 
scp-662,Safe,,humanoid instrument safe scp teleportation 
scp-6620,euclid,,cognitohazard compulsion euclid infohazard media mind-affecting recording reviewers-spotlight scp visual 
scp-6621,keter,,alive animal blackwood canine departmentcon2022 genetic keter plant reproductive sapient scp sentient species transfiguration virus 
scp-6622,archon,site-43,alive animal arboreal archon ectoentropic electrical featured on-guard-43 plant scp sentient structure 
scp-6623,keter,,city departmentcon2022 extradimensional historical hive-mind keter knowledge pattern-screamer sapient scp sentient spacetime temporal 
scp-6624,neutralized,site-77,acoustic adult alagadda biological empathic hanged-king humanoid instrument mind-affecting musical neutralized ontokinetic redirect scp spacetime teleportation transfiguration vibration 
scp-6626,euclid,,building euclid extradimensional metallic religious scarlet-king scp subterranean 
scp-6627,Euclid,,automaton building dr-wondertainment euclid future mister scp spacetime temporal toy 
scp-6629,safe,,cadaver electronic extradimensional hostile memory-affecting safe scp sleep teleportation 
scp-663,Euclid,site-18,acoustic appliance biological euclid humanoid scp thermal 
scp-6630,keter,,departmentcon2022 fire indestructible keter predatory scp sentient 
scp-6632,Euclid,,alive appliance building euclid liquid scp sentient 
scp-6633,euclid,area-27,euclid hostile humanoid mind-affecting narrative parasitic scp sentient uncontained 
scp-6635,Argus,,cognitohazard concept esoteric-class memetic mind-affecting scp the-gulf unusual-incidents-unit weapon 
scp-6636,Safe,,adaptive audio empathic media photographic recording safe scp sensory visual 
scp-6637,Keter,,compulsion infohazard intangible keter knowledge musical sapient scp sentient 
scp-6639,Euclid,,alive animal aquatic biological euclid extradimensional scp vehicle 
scp-664,Euclid,,building euclid featured paradox rewrite scp spacetime temporal 
scp-6640,euclid,,amorphous artistic auditory euclid historical hostile meta performance ritual sapient scp sentient visual 
scp-6641,neutralized,,doctor-mcdoctorate extremity humanoid neutralized sapient scp sentient sleep 
scp-6642,euclid,,alive animal euclid extraterrestrial metamorphic mind-affecting sapient scp sentient 
scp-6644,keter,,alive co-authored ethics-committee humanoid keter omnivorous sapient scp sentient species unusual-incidents-unit 
scp-6646,euclid,,acoustic auditory empathic euclid knowledge mind-affecting scp transmission 
scp-665,Safe,,alive humanoid safe sapient scp sentient 
scp-6650,neutralized,,auditory document empathic knowledge neutralized observational photographic sapient scp sentient visual 
scp-6651,esoteric-class,site-120,aiad antimemetic cadaver concept esoteric-class from-120s-archives humanoid scp 
scp-6652,safe,,artistic auditory cognitohazard container document gustatory observational olfactory safe scp sensory tactile visual wooden 
scp-6653,Safe,,building compulsion immobile safe scp 
scp-6654,euclid,,alive euclid humanoid knowledge ontokinetic sapient scp sentient 
scp-6655,keter,,concept contagion fifthist infohazard keter mind-affecting nightmarefest scp 
scp-6656,safe,,global-occult-coalition indestructible safe scp uncontained weapon wooden 
scp-6658,neutralized,,alive cadaver humanoid neutralized sapient scp sentient 
scp-6659,esoteric-class,site-184,biological computer concept deepwell-catalog doctor-mcdoctorate esoteric-class fifthist foundation-made mind-affecting neurological religious scarlet-king scp weapon 
scp-666,Euclid,,auditory building euclid hallucination humanoid rewrite scp tactile telepathic visual 
scp-6660,Euclid,site-64,6000 anderson computer deer-college electronic euclid genetic medical sarkic scp three-portlands transfiguration twisted-pines unusual-incidents-unit vincent-anderson 
scp-6661,esoteric-class,,artistic audio cognitohazard compulsion esoteric-class media memecon2021-unofficial sapient scp sentient visual 
scp-6662,keter,,alive canine ectoentropic extradimensional extraterrestrial humanoid keter ontokinetic sapient scp sentient tool 
scp-6663,neutralized,area-27,cognitohazard empathic equine extraterrestrial neutralized scp vehicle visual 
scp-6664,euclid,,arboreal computer doctor-blank euclid ontokinetic plant scp 
scp-6665,thaumiel,,6000 foundation-made humanoid memory-affecting meta mind-affecting narrative neurological scp thaumiel the-administrator 
scp-6666,thaumiel,,6000 acoustic alleged-god arboreal audio biohazard cadaver cain children-of-the-night daevite director-moose doctor-clef doctor-light empathic geological historical hostile humanoid kain-pathos-crow knowledge light metallic mobile nameless neurological plant sapient scp self-repairing sentient sleep structure subterranean thaumiel toxic weapon 
scp-6667,esoteric-class,,6000 alive artistic esoteric-class humanoid memetic plant sapient scp sentient species subterranean visual 
scp-6668,esoteric-class,,animal building esoteric-class murine predatory scp self-replicating swarm uncontained 
scp-6669,keter,,6000 artifact automaton bacteria biohazard extraterrestrial keter scp structure 
scp-667,Keter,,airborne alive cognitohazard compulsion humanoid insect keter plant scp visual 
scp-6670,euclid,,alive amorphous building euclid immobile sapient scp sentient 
scp-6671,Euclid,,euclid extradimensional hallucination humanoid light location ritual sapient scp sentient teleportation visual 
scp-6672,esoteric-class,site-120,biological children-of-the-night electronic esoteric-class from-120s-archives gru-division-p historical inscribed metallic military mind-affecting nameless obskura ontokinetic pentagram sapient scp sentient telepathic the-coldest-war weapon 
scp-6676,Decommissioned,site-06-2,6000 alive arboreal cadaver esoteric-class ethics-committee foundation-made humanoid plant scp 
scp-6677,safe,,autonomous city doctor-wettle media memory-affecting mind-affecting observational on-guard-43 recording safe sapient scp sculpture sentient vikander-kneed visual 
scp-6678,esoteric-class,,departmentcon2022 empathic esoteric-class extradimensional global-occult-coalition historical location portal reclamation scp 
scp-6679,Keter,,compulsion keter medical scp uncontained 
scp-668,Euclid,site-18,able euclid metallic mind-affecting scp tool weapon 
scp-6680,keter,,concept document historical keter memetic mind-affecting religious scp 
scp-6685,esoteric-class,,6000 alive animal arboreal esoteric-class extradimensional humanoid plant scp transfiguration visual 
scp-6686,euclid,,euclid extraterrestrial humanoid sapient scp sentient sun 
scp-6687,keter,,auditory humanoid keter media musical online recording scp sculpture 
scp-6688,esoteric-class,,alive audio esoteric-class foundation-made humanoid knowledge memetic safe scp sentient 
scp-6689,esoteric-class,site-184,concept esoteric-class interactive meta predatory scp 
scp-669,Safe,site-18,artifact electromagnetic gravity metallic rewrite safe scp sphere 
scp-6690,keter,,co-authored compulsion keter memecon2021-unofficial musical scp uncontained 
scp-6691,Euclid,,alive co-authored ectoentropic euclid fire humanoid memecon2021-unofficial sapient scp sentient transfiguration 
scp-6692,thaumiel,,co-authored infohazard language meta probability scp thaumiel transfiguration 
scp-6695,esoteric-class,,alive corporate crystalline departmentcon2022 esoteric-class extraterrestrial religious sapient scp sensory sentient species sphere structure sun uncontained visual 
scp-6696,euclid,,building dental euclid hostile humanoid ontokinetic scp transfiguration 
scp-6697,Safe,,ethics-committee media narrative safe scp totleighsoft 
scp-6698,Safe,,alive animal building cadaver featured humanoid indestructible insect reanimation safe scp sentient swarm 
scp-6699,thaumiel,site-184,6000 artifact auditory biohazard biological cadaver concept daevite foundation-made humanoid mind-affecting neurological reanimation sapient scp sensory sentient telepathic thaumiel 
scp-67,Safe,,artistic autonomous instrument safe scp tool 
scp-670,Safe,,clay humanoid safe sapient scp self-repairing 
scp-6700,Thaumiel,,6000 acoustic alive aquatic cephalopodic historical humanoid meta meteorological musical orcadia performance religious ritual sapient scp sentient thaumiel 
scp-6701,Uncontained,,avian esoteric-class extraterrestrial foundation-made mobile scp toy uncontained 
scp-6703,Euclid Neutralized,,cadaver humanoid marshall-carter-and-dark medical neutralized reanimation sapient scp sentient 
scp-6704,euclid,,cognitohazard euclid fire light mind-affecting scp visual 
scp-6705,safe,,antimemetic bovine broken-masquerade chemical co-authored corporate liquid memory-affecting mind-affecting neurological safe scp video 
scp-6706,keter,,acoustic building cadaver ectoentropic keter liquid scp spacetime uncontained 
scp-6707,esoteric-class,,alive co-authored esoteric-class historical meteorological plant scp species sun 
scp-6708,pending,,abnormalities auditory hallucination mechanical pending scp tactile tool 
scp-671,Euclid,,alive euclid formic invertebrate scp self-replicating species 
scp-6710,Euclid,,airborne animal antimemetic euclid feline light memecon2021-unofficial scp sentient teleportation visual 
scp-6711,safe,,6000 document extradimensional future location safe scp spacetime temporal 
scp-6712,Euclid,,electrical euclid extradimensional fire game light scp teleportation toy 
scp-6714,esoteric-class,site-169,alive animal avian departmentcon2022 director-moose esoteric-class fire humanoid sapient scp sentient telekinetic telepathic 
scp-6715,euclid,,6000 artifact building compulsion ectoentropic empathic euclid hallucination humanoid k-class-scenario mechanical metallic mind-affecting neurological prometheus sapient scp sensory sentient subterranean telepathic uncontained 
scp-6717,NA,,autonomous immobile interview location scp 
scp-672,Euclid,,alive compulsion euclid scp species 
scp-6720,Safe,,abnormalities safe scp structure 
scp-6724,safe,,clothing compulsion document electronic food humanoid immobile memory-affecting safe scp sentient 
